model,override_enabled,success_rate,status,num_of_steps,num_of_overrides
STD_id673_ep101_no_rules_srate4.h5,FALSE,4,collision,590,0
STD_id673_ep101_no_rules_srate4.h5,TRUE,4,collision,202,0
STD_id673_ep347_no_rules_srate6.h5,FALSE,6,collision,24,0
STD_id673_ep347_no_rules_srate6.h5,TRUE,6,time_out,1500,143
STD_id673_ep650_no_rules_srate11.h5,FALSE,11,solved,422,0
STD_id673_ep650_no_rules_srate11.h5,TRUE,11,time_out,1500,280
STD_id673_ep759_no_rules_srate16.h5,FALSE,16,solved,872,0
STD_id673_ep759_no_rules_srate16.h5,TRUE,16,solved,141,0
STD_id673_ep860_no_rules_srate23.h5,FALSE,23,collision,1480,0
STD_id673_ep860_no_rules_srate23.h5,TRUE,23,collision,118,1
STD_id673_ep961_no_rules_srate30.h5,FALSE,30,collision,318,0
STD_id673_ep961_no_rules_srate30.h5,TRUE,30,solved,46,2
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,solved,112,0
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,236,28
STD_id673_ep1163_no_rules_srate48.h5,FALSE,48,solved,162,0
STD_id673_ep1163_no_rules_srate48.h5,TRUE,48,solved,157,15
STD_id673_ep1264_no_rules_srate62.h5,FALSE,62,solved,214,0
STD_id673_ep1264_no_rules_srate62.h5,TRUE,62,solved,117,10
STD_id673_ep1365_no_rules_srate63.h5,FALSE,63,collision,2,0
STD_id673_ep1365_no_rules_srate63.h5,TRUE,63,solved,17,2
STD_id673_ep1567_no_rules_srate70.h5,FALSE,70,solved,28,0
STD_id673_ep1567_no_rules_srate70.h5,TRUE,70,solved,51,8
STD_id673_ep1668_no_rules_srate75.h5,FALSE,75,solved,167,0
STD_id673_ep1668_no_rules_srate75.h5,TRUE,75,solved,111,20
STD_id673_ep1870_no_rules_srate76.h5,FALSE,76,solved,109,0
STD_id673_ep1870_no_rules_srate76.h5,TRUE,76,solved,89,18
STD_id673_ep1769_no_rules_srate78.h5,FALSE,78,solved,106,0
STD_id673_ep1769_no_rules_srate78.h5,TRUE,78,solved,108,10
STD_id673_ep1466_no_rules_srate79.h5,FALSE,79,solved,196,0
STD_id673_ep1466_no_rules_srate79.h5,TRUE,79,solved,48,10
STD_id673_ep1971_no_rules_srate82.h5,FALSE,82,solved,105,0
STD_id673_ep1971_no_rules_srate82.h5,TRUE,82,solved,55,14
STD_id673_ep2072_no_rules_srate84.h5,FALSE,84,solved,87,0
STD_id673_ep2072_no_rules_srate84.h5,TRUE,84,solved,97,17
STD_id673_ep2173_no_rules_srate88.h5,FALSE,88,collision,34,0
STD_id673_ep2173_no_rules_srate88.h5,TRUE,88,solved,101,13
STD_id673_ep2389_no_rules_srate91.h5,FALSE,91,solved,70,0
STD_id673_ep2389_no_rules_srate91.h5,TRUE,91,solved,64,21
STD_id673_ep4395_no_rules_srate96.h5,FALSE,96,solved,36,0
STD_id673_ep4395_no_rules_srate96.h5,TRUE,96,solved,94,12
